Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01447","Castor oil seeds","2024","2024","ha","0","E","Estimated value",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01213","Cauliflowers and broccoli","2024","2024","ha","3884","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01199.90","Cereals n.e.c.","2024","2024","ha","9651","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01344.02","Cherries","2024","2024","ha","1","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01373","Chestnuts, in shell","2024","2024","ha","136","E","Estimated value",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01703","Chick peas, dry","2024","2024","ha","427","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","2024","ha","6874","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","ha","12028","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01640","Cocoa beans","2024","2024","ha","189602","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01460","Coconuts, in shell","2024","2024","ha","2819","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01610","Coffee, green","2024","2024","ha","421972","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01706","Cow peas, dry","2024","2024","ha","13038","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01232","Cucumbers and gherkins","2024","2024","ha","3046","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01314","Dates","2024","2024","ha","158","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2024","2024","ha","39770","E","Estimated value",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01233","Eggplants (aubergines)","2024","2024","ha","33","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01315","Figs","2024","2024","ha","452","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01657","Ginger, raw","2024","2024","ha","10969","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01330","Grapes","2024","2024","ha","36811","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01290.01","Green corn (maize)","2024","2024","ha","45230","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01252","Green garlic","2024","2024","ha","8634","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","0142","Groundnuts, excluding shelled","2024","2024","ha","3327","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01922.01","Jute, raw or retted","2024","2024","ha","169","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01254","Leeks and other alliaceous vegetables","2024","2024","ha","1298","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01322","Lemons and limes","2024","2024","ha","28604","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01704","Lentils, dry","2024","2024","ha","3969","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01214","Lettuce and chicory","2024","2024","ha","5526","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01441","Linseed","2024","2024","ha","818","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01709.02","Lupins","2024","2024","ha","13455","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","0112","Maize (corn)","2024","2024","ha","461207","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01316","Mangoes, guavas and mangosteens","2024","2024","ha","39415","A","Official figure",""
